Month,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
3,-0.1733,13.0284,0.08263,1.0765,10.1,10.8,11.2,11.4,11.7,12.0,12.3,13.0,13.8,14.2,14.5,14.9,15.3,15.8,16.9
4,-0.1733,13.3649,0.08298,1.109,10.4,11.1,11.5,11.7,12.0,12.3,12.6,13.4,14.1,14.6,14.9,15.3,15.7,16.3,17.4
5,-0.1733,13.6061,0.08325,1.1327,10.6,11.2,11.7,11.9,12.2,12.5,12.9,13.6,14.4,14.8,15.2,15.6,15.9,16.6,17.7
6,-0.1733,13.7771,0.08343,1.1494,10.7,11.4,11.8,12.0,12.4,12.6,13.0,13.8,14.6,15.0,15.3,15.8,16.2,16.8,17.9
7,-0.1733,13.9018,0.08352,1.1611,10.8,11.5,11.9,12.1,12.5,12.8,13.1,13.9,14.7,15.2,15.5,16.0,16.3,16.9,18.1
8,-0.1733,13.9952,0.08351,1.1687,10.9,11.6,12.0,12.2,12.6,12.8,13.2,14.0,14.8,15.3,15.6,16.1,16.4,17.1,18.2
9,-0.1733,14.0665,0.08342,1.1734,10.9,11.6,12.0,12.3,12.7,12.9,13.3,14.1,14.9,15.3,15.7,16.2,16.5,17.1,18.3
10,-0.1733,14.1217,0.08326,1.1758,11.0,11.7,12.1,12.3,12.7,13.0,13.4,14.1,14.9,15.4,15.7,16.2,16.6,17.2,18.4
11,-0.1733,14.1667,0.08305,1.1765,11.0,11.7,12.1,12.4,12.7,13.0,13.4,14.2,15.0,15.5,15.8,16.3,16.6,17.2,18.4
12,-0.1733,14.2065,0.0828,1.1763,11.1,11.8,12.2,12.4,12.8,13.0,13.4,14.2,15.0,15.5,15.8,16.3,16.6,17.3,18.5
13,-0.1733,14.2455,0.08254,1.1758,11.1,11.8,12.2,12.5,12.8,13.1,13.5,14.2,15.1,15.5,15.9,16.3,16.7,17.3,18.5
14,-0.1733,14.2859,0.08227,1.1753,11.1,11.8,12.3,12.5,12.9,13.1,13.5,14.3,15.1,15.6,15.9,16.4,16.7,17.4,18.5
15,-0.1733,14.3289,0.08202,1.1753,11.2,11.9,12.3,12.5,12.9,13.2,13.6,14.3,15.1,15.6,15.9,16.4,16.8,17.4,18.6
16,-0.1733,14.3752,0.08179,1.1757,11.2,11.9,12.4,12.6,13.0,13.2,13.6,14.4,15.2,15.7,16.0,16.5,16.8,17.4,18.6
17,-0.1733,14.4254,0.0816,1.1771,11.3,12.0,12.4,12.6,13.0,13.3,13.7,14.4,15.2,15.7,16.0,16.5,16.9,17.5,18.7
18,-0.1733,14.4795,0.08143,1.1791,11.3,12.0,12.4,12.7,13.1,13.3,13.7,14.5,15.3,15.8,16.1,16.6,16.9,17.6,18.7
19,-0.1733,14.5372,0.08131,1.182,11.4,12.1,12.5,12.7,13.1,13.4,13.8,14.5,15.4,15.8,16.1,16.6,17.0,17.6,18.8
20,-0.1733,14.5987,0.08123,1.1859,11.4,12.1,12.6,12.8,13.2,13.4,13.8,14.6,15.4,15.9,16.2,16.7,17.0,17.7,18.9
21,-0.1733,14.6639,0.08118,1.1904,11.5,12.2,12.6,12.9,13.2,13.5,13.9,14.7,15.5,16.0,16.3,16.8,17.1,17.8,19.0
22,-0.1733,14.7328,0.08118,1.196,11.5,12.2,12.7,12.9,13.3,13.6,14.0,14.7,15.6,16.0,16.4,16.9,17.2,17.9,19.0
23,-0.1733,14.8049,0.08121,1.2023,11.6,12.3,12.7,13.0,13.4,13.6,14.0,14.8,15.6,16.1,16.4,16.9,17.3,17.9,19.1
24,-0.1733,14.8795,0.08127,1.2093,11.6,12.4,12.8,13.0,13.4,13.7,14.1,14.9,15.7,16.2,16.5,17.0,17.4,18.0,19.2
25,-0.1733,14.9559,0.08136,1.2168,11.7,12.4,12.9,13.1,13.5,13.8,14.2,15.0,15.8,16.3,16.6,17.1,17.5,18.1,19.3
26,-0.1733,15.0327,0.08147,1.2247,11.7,12.5,12.9,13.2,13.6,13.8,14.2,15.0,15.9,16.4,16.7,17.2,17.6,18.2,19.4
27,-0.1733,15.1085,0.08161,1.233,11.8,12.5,13.0,13.2,13.6,13.9,14.3,15.1,16.0,16.5,16.8,17.3,17.7,18.3,19.6
28,-0.1733,15.1817,0.08178,1.2416,11.9,12.6,13.0,13.3,13.7,14.0,14.4,15.2,16.0,16.5,16.9,17.4,17.7,18.4,19.7
29,-0.1733,15.2514,0.08196,1.25,11.9,12.6,13.1,13.3,13.7,14.0,14.4,15.3,16.1,16.6,17.0,17.5,17.8,18.5,19.8
30,-0.1733,15.3168,0.08217,1.2586,11.9,12.7,13.2,13.4,13.8,14.1,14.5,15.3,16.2,16.7,17.0,17.6,17.9,18.6,19.9
31,-0.1733,15.3779,0.0824,1.2671,12.0,12.7,13.2,13.4,13.9,14.1,14.6,15.4,16.3,16.8,17.1,17.6,18.0,18.7,20.0
32,-0.1733,15.4351,0.08265,1.2757,12.0,12.8,13.2,13.5,13.9,14.2,14.6,15.4,16.3,16.8,17.2,17.7,18.1,18.8,20.0
33,-0.1733,15.4895,0.08292,1.2844,12.1,12.8,13.3,13.5,13.9,14.2,14.7,15.5,16.4,16.9,17.2,17.8,18.1,18.8,20.1
34,-0.1733,15.5423,0.0832,1.2931,12.1,12.8,13.3,13.6,14.0,14.3,14.7,15.5,16.4,17.0,17.3,17.9,18.2,18.9,20.2
35,-0.1733,15.5941,0.08351,1.3023,12.1,12.9,13.4,13.6,14.0,14.3,14.7,15.6,16.5,17.0,17.4,17.9,18.3,19.0,20.3
36,-0.1733,15.6456,0.08383,1.3116,12.1,12.9,13.4,13.7,14.1,14.4,14.8,15.6,16.6,17.1,17.4,18.0,18.4,19.1,20.4
37,-0.1733,15.6969,0.08416,1.3211,12.2,12.9,13.4,13.7,14.1,14.4,14.8,15.7,16.6,17.1,17.5,18.1,18.4,19.2,20.5
38,-0.1733,15.7483,0.08451,1.3309,12.2,13.0,13.5,13.7,14.1,14.4,14.9,15.7,16.7,17.2,17.6,18.1,18.5,19.2,20.6
39,-0.1733,15.7997,0.08487,1.3409,12.2,13.0,13.5,13.8,14.2,14.5,14.9,15.8,16.7,17.3,17.6,18.2,18.6,19.3,20.7
40,-0.1733,15.8509,0.08525,1.3513,12.3,13.0,13.5,13.8,14.2,14.5,15.0,15.9,16.8,17.3,17.7,18.3,18.6,19.4,20.8
41,-0.1733,15.9016,0.08563,1.3617,12.3,13.1,13.6,13.8,14.3,14.6,15.0,15.9,16.9,17.4,17.8,18.3,18.7,19.5,20.8
42,-0.1733,15.9518,0.08602,1.3722,12.3,13.1,13.6,13.9,14.3,14.6,15.1,16.0,16.9,17.5,17.8,18.4,18.8,19.6,20.9
43,-0.1733,16.0016,0.08642,1.3829,12.3,13.1,13.6,13.9,14.3,14.6,15.1,16.0,17.0,17.5,17.9,18.5,18.9,19.6,21.0
44,-0.1733,16.0509,0.08683,1.3937,12.3,13.2,13.7,13.9,14.4,14.7,15.1,16.1,17.0,17.6,18.0,18.5,18.9,19.7,21.1
45,-0.1733,16.1001,0.08723,1.4044,12.4,13.2,13.7,14.0,14.4,14.7,15.2,16.1,17.1,17.6,18.0,18.6,19.0,19.8,21.2
46,-0.1733,16.1491,0.08765,1.4155,12.4,13.2,13.7,14.0,14.4,14.8,15.2,16.1,17.1,17.7,18.1,18.7,19.1,19.9,21.3
47,-0.1733,16.1983,0.08806,1.4264,12.4,13.2,13.8,14.0,14.5,14.8,15.3,16.2,17.2,17.8,18.2,18.8,19.2,20.0,21.4
48,-0.1733,16.2477,0.08848,1.4376,12.4,13.3,13.8,14.1,14.5,14.8,15.3,16.2,17.3,17.8,18.2,18.8,19.2,20.0,21.5
49,-0.1733,16.2974,0.0889,1.4488,12.5,13.3,13.8,14.1,14.6,14.9,15.4,16.3,17.3,17.9,18.3,18.9,19.3,20.1,21.6
50,-0.1733,16.3475,0.08932,1.4602,12.5,13.3,13.9,14.1,14.6,14.9,15.4,16.3,17.4,17.9,18.4,19.0,19.4,20.2,21.7
51,-0.1733,16.3981,0.08974,1.4716,12.5,13.4,13.9,14.2,14.6,15.0,15.4,16.4,17.4,18.0,18.4,19.0,19.5,20.3,21.8
52,-0.1733,16.449,0.09016,1.483,12.5,13.4,13.9,14.2,14.7,15.0,15.5,16.4,17.5,18.1,18.5,19.1,19.5,20.4,21.9
53,-0.1733,16.5001,0.09057,1.4944,12.6,13.4,14.0,14.2,14.7,15.0,15.5,16.5,17.5,18.1,18.6,19.2,19.6,20.5,22.0
