Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0.0,-0.0631,13.3363,0.09272,10.0,10.8,11.2,11.5,11.8,12.1,12.5,13.3,14.2,14.7,15.0,15.5,15.9,16.6,17.8
0.23094688221709006,0.6319,13.2113,0.09887,9.4,10.3,10.8,11.1,11.6,11.9,12.3,13.2,14.1,14.6,14.9,15.4,15.8,16.4,17.5
0.4618937644341801,0.5082,13.4501,0.09741,9.7,10.6,11.1,11.4,11.8,12.1,12.6,13.5,14.3,14.8,15.2,15.7,16.0,16.7,17.8
0.6928406466512702,0.4263,13.9505,0.09647,10.1,11.0,11.5,11.8,12.3,12.6,13.1,14.0,14.9,15.4,15.7,16.3,16.6,17.3,18.5
0.9237875288683602,0.3637,14.4208,0.09577,10.5,11.4,12.0,12.3,12.7,13.0,13.5,14.4,15.4,15.9,16.3,16.8,17.2,17.9,19.1
1.0,0.3448,14.5679,0.09556,10.7,11.6,12.1,12.4,12.9,13.2,13.6,14.6,15.5,16.1,16.4,17.0,17.3,18.0,19.3
1.1547344110854503,0.3124,14.8157,0.0952,10.9,11.8,12.3,12.6,13.1,13.4,13.9,14.8,15.8,16.3,16.7,17.3,17.6,18.4,19.6
1.3856812933025404,0.2688,15.138,0.09472,11.2,12.1,12.6,12.9,13.4,13.7,14.2,15.1,16.1,16.7,17.1,17.6,18.0,18.8,20.1
1.6166281755196306,0.2306,15.4063,0.09431,11.4,12.3,12.9,13.2,13.6,14.0,14.4,15.4,16.4,17.0,17.4,17.9,18.3,19.1,20.4
1.8475750577367205,0.1966,15.6311,0.09394,11.6,12.5,13.1,13.4,13.8,14.2,14.7,15.6,16.6,17.2,17.6,18.2,18.6,19.4,20.7
2.0,0.1749,15.7679,0.09371,11.7,12.6,13.2,13.5,14.0,14.3,14.8,15.8,16.8,17.4,17.8,18.4,18.8,19.5,20.9
2.0785219399538106,0.1658,15.8232,0.09361,11.8,12.7,13.2,13.5,14.0,14.3,14.9,15.8,16.8,17.4,17.8,18.4,18.8,19.6,21.0
2.3094688221709005,0.1377,15.9874,0.09332,11.9,12.8,13.4,13.7,14.2,14.5,15.0,16.0,17.0,17.6,18.0,18.6,19.0,19.8,21.2
2.540415704387991,0.1118,16.1277,0.09304,12.0,13.0,13.5,13.8,14.3,14.6,15.1,16.1,17.2,17.8,18.2,18.8,19.2,20.0,21.4
2.771362586605081,0.0877,16.2485,0.09279,12.2,13.1,13.6,13.9,14.4,14.8,15.3,16.2,17.3,17.9,18.3,18.9,19.3,20.1,21.6
3.0,0.0643,16.3574,0.09254,12.3,13.2,13.7,14.0,14.5,14.9,15.4,16.4,17.4,18.0,18.4,19.0,19.4,20.3,21.7
3.0023094688221708,0.0652,16.3531,0.09255,12.3,13.2,13.7,14.0,14.5,14.9,15.4,16.4,17.4,18.0,18.4,19.0,19.4,20.3,21.7
4.0,-0.0191,16.6703,0.09166,12.6,13.5,14.0,14.3,14.8,15.2,15.7,16.7,17.7,18.3,18.8,19.4,19.8,20.6,22.1
5.0,-0.0864,16.8386,0.09096,12.8,13.7,14.2,14.5,15.0,15.3,15.8,16.8,17.9,18.5,18.9,19.6,20.0,20.8,22.4
