Month,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
3,0.3928,13.4817,0.07475,1.0078,10.6,11.3,11.7,11.9,12.2,12.5,12.8,13.5,14.2,14.6,14.8,15.2,15.5,16.0,16.8
4,0.3475,13.8097,0.07523,1.0389,10.8,11.5,11.9,12.2,12.5,12.8,13.1,13.8,14.5,14.9,15.2,15.6,15.9,16.4,17.3
5,0.3092,14.0585,0.07566,1.0637,11.0,11.7,12.2,12.4,12.7,13.0,13.4,14.1,14.8,15.2,15.5,15.9,16.2,16.7,17.6
6,0.2755,14.2389,0.07601,1.0823,11.2,11.9,12.3,12.5,12.9,13.1,13.5,14.2,15.0,15.4,15.7,16.1,16.4,16.9,17.9
7,0.2453,14.3678,0.07629,1.0961,11.3,12.0,12.4,12.6,13.0,13.3,13.6,14.4,15.1,15.5,15.8,16.3,16.5,17.1,18.1
8,0.2179,14.4591,0.0765,1.1061,11.3,12.1,12.5,12.7,13.1,13.3,13.7,14.5,15.2,15.6,15.9,16.4,16.7,17.2,18.2
9,0.1925,14.5245,0.07665,1.1133,11.4,12.1,12.5,12.8,13.2,13.4,13.8,14.5,15.3,15.7,16.0,16.5,16.7,17.3,18.3
10,0.169,14.5733,0.07676,1.1186,11.4,12.2,12.6,12.8,13.2,13.5,13.8,14.6,15.3,15.8,16.1,16.5,16.8,17.4,18.4
11,0.1469,14.6119,0.07683,1.1226,11.5,12.2,12.6,12.9,13.2,13.5,13.9,14.6,15.4,15.8,16.1,16.6,16.9,17.4,18.5
12,0.1261,14.6449,0.07689,1.126,11.5,12.2,12.7,12.9,13.3,13.5,13.9,14.6,15.4,15.9,16.2,16.6,16.9,17.5,18.5
13,0.1064,14.6758,0.07694,1.1292,11.5,12.2,12.7,12.9,13.3,13.5,13.9,14.7,15.5,15.9,16.2,16.6,16.9,17.5,18.6
14,0.0876,14.7063,0.07699,1.1322,11.6,12.3,12.7,12.9,13.3,13.6,14.0,14.7,15.5,15.9,16.2,16.7,17.0,17.6,18.6
15,0.0697,14.738,0.07703,1.1353,11.6,12.3,12.7,13.0,13.3,13.6,14.0,14.7,15.5,16.0,16.3,16.7,17.0,17.6,18.7
16,0.0526,14.7723,0.07707,1.1385,11.6,12.3,12.8,13.0,13.4,13.6,14.0,14.8,15.6,16.0,16.3,16.8,17.1,17.7,18.7
17,0.0362,14.8095,0.0771,1.1418,11.7,12.4,12.8,13.0,13.4,13.7,14.1,14.8,15.6,16.0,16.3,16.8,17.1,17.7,18.8
18,0.0204,14.8496,0.07713,1.1453,11.7,12.4,12.8,13.1,13.5,13.7,14.1,14.8,15.6,16.1,16.4,16.9,17.2,17.8,18.8
19,0.0051,14.8926,0.07717,1.1493,11.7,12.4,12.9,13.1,13.5,13.7,14.1,14.9,15.7,16.1,16.4,16.9,17.2,17.8,18.9
20,-0.0097,14.9388,0.07721,1.1534,11.8,12.5,12.9,13.2,13.5,13.8,14.2,14.9,15.7,16.2,16.5,17.0,17.3,17.9,19.0
21,-0.0239,14.9883,0.07725,1.1578,11.8,12.5,13.0,13.2,13.6,13.8,14.2,15.0,15.8,16.2,16.6,17.0,17.3,17.9,19.0
22,-0.0378,15.041,0.07731,1.1628,11.9,12.6,13.0,13.2,13.6,13.9,14.3,15.0,15.8,16.3,16.6,17.1,17.4,18.0,19.1
23,-0.0512,15.0964,0.07738,1.1682,11.9,12.6,13.1,13.3,13.7,13.9,14.3,15.1,15.9,16.4,16.7,17.2,17.5,18.1,19.2
24,-0.0643,15.1536,0.07746,1.1738,11.9,12.7,13.1,13.3,13.7,14.0,14.4,15.2,16.0,16.4,16.7,17.2,17.5,18.2,19.3
25,-0.077,15.2115,0.07755,1.1797,12.0,12.7,13.2,13.4,13.8,14.0,14.4,15.2,16.0,16.5,16.8,17.3,17.6,18.2,19.4
26,-0.0894,15.2693,0.07767,1.186,12.0,12.8,13.2,13.4,13.8,14.1,14.5,15.3,16.1,16.6,16.9,17.4,17.7,18.3,19.5
27,-0.1014,15.3259,0.0778,1.1924,12.1,12.8,13.3,13.5,13.9,14.1,14.5,15.3,16.2,16.6,16.9,17.4,17.8,18.4,19.5
28,-0.1132,15.3808,0.07794,1.1988,12.1,12.9,13.3,13.5,13.9,14.2,14.6,15.4,16.2,16.7,17.0,17.5,17.8,18.5,19.6
29,-0.1248,15.4336,0.0781,1.2054,12.2,12.9,13.3,13.6,14.0,14.2,14.6,15.4,16.3,16.7,17.1,17.6,17.9,18.5,19.7
30,-0.136,15.4839,0.07827,1.2119,12.2,12.9,13.4,13.6,14.0,14.3,14.7,15.5,16.3,16.8,17.1,17.6,18.0,18.6,19.8
31,-0.147,15.5317,0.07846,1.2186,12.2,13.0,13.4,13.7,14.1,14.3,14.7,15.5,16.4,16.9,17.2,17.7,18.0,18.7,19.9
32,-0.1578,15.5771,0.07866,1.2253,12.3,13.0,13.5,13.7,14.1,14.4,14.8,15.6,16.4,16.9,17.2,17.8,18.1,18.8,20.0
33,-0.1684,15.6201,0.07887,1.232,12.3,13.0,13.5,13.7,14.1,14.4,14.8,15.6,16.5,17.0,17.3,17.8,18.2,18.8,20.0
34,-0.1788,15.6611,0.07909,1.2386,12.3,13.1,13.5,13.8,14.2,14.4,14.9,15.7,16.5,17.0,17.3,17.9,18.2,18.9,20.1
35,-0.189,15.7003,0.07933,1.2455,12.4,13.1,13.6,13.8,14.2,14.5,14.9,15.7,16.6,17.1,17.4,17.9,18.3,18.9,20.2
36,-0.1989,15.738,0.07956,1.2521,12.4,13.1,13.6,13.8,14.2,14.5,14.9,15.7,16.6,17.1,17.4,18.0,18.3,19.0,20.2
37,-0.2087,15.7745,0.07981,1.259,12.4,13.1,13.6,13.9,14.3,14.5,15.0,15.8,16.7,17.1,17.5,18.0,18.4,19.1,20.3
38,-0.2184,15.8101,0.08006,1.2658,12.4,13.2,13.6,13.9,14.3,14.6,15.0,15.8,16.7,17.2,17.5,18.1,18.4,19.1,20.4
39,-0.2278,15.845,0.08032,1.2727,12.4,13.2,13.7,13.9,14.3,14.6,15.0,15.8,16.7,17.2,17.6,18.1,18.5,19.2,20.5
40,-0.2372,15.8793,0.08058,1.2796,12.5,13.2,13.7,13.9,14.3,14.6,15.0,15.9,16.8,17.3,17.6,18.2,18.5,19.2,20.5
41,-0.2463,15.9132,0.08085,1.2866,12.5,13.2,13.7,14.0,14.4,14.6,15.1,15.9,16.8,17.3,17.7,18.2,18.6,19.3,20.6
42,-0.2553,15.9467,0.08112,1.2936,12.5,13.3,13.7,14.0,14.4,14.7,15.1,15.9,16.9,17.4,17.7,18.3,18.6,19.3,20.7
43,-0.2642,15.9797,0.08139,1.3006,12.5,13.3,13.8,14.0,14.4,14.7,15.1,16.0,16.9,17.4,17.8,18.3,18.7,19.4,20.7
44,-0.273,16.0124,0.08166,1.3076,12.5,13.3,13.8,14.0,14.4,14.7,15.2,16.0,16.9,17.4,17.8,18.4,18.7,19.5,20.8
45,-0.2816,16.0447,0.08194,1.3147,12.6,13.3,13.8,14.1,14.5,14.8,15.2,16.0,17.0,17.5,17.8,18.4,18.8,19.5,20.9
46,-0.2901,16.0767,0.08222,1.3218,12.6,13.3,13.8,14.1,14.5,14.8,15.2,16.1,17.0,17.5,17.9,18.5,18.8,19.6,20.9
47,-0.2985,16.1085,0.0825,1.329,12.6,13.4,13.8,14.1,14.5,14.8,15.2,16.1,17.0,17.6,17.9,18.5,18.9,19.6,21.0
48,-0.3067,16.14,0.08278,1.3361,12.6,13.4,13.9,14.1,14.5,14.8,15.3,16.1,17.1,17.6,18.0,18.5,18.9,19.7,21.1
49,-0.3149,16.1714,0.08307,1.3434,12.6,13.4,13.9,14.1,14.6,14.9,15.3,16.2,17.1,17.6,18.0,18.6,19.0,19.7,21.1
50,-0.3229,16.2027,0.08335,1.3505,12.7,13.4,13.9,14.2,14.6,14.9,15.3,16.2,17.1,17.7,18.1,18.6,19.0,19.8,21.2
51,-0.3309,16.234,0.08364,1.3578,12.7,13.4,13.9,14.2,14.6,14.9,15.4,16.2,17.2,17.7,18.1,18.7,19.1,19.9,21.3
52,-0.3387,16.2654,0.08392,1.365,12.7,13.5,13.9,14.2,14.6,14.9,15.4,16.3,17.2,17.8,18.1,18.7,19.1,19.9,21.3
53,-0.3464,16.2968,0.08421,1.3724,12.7,13.5,14.0,14.2,14.7,15.0,15.4,16.3,17.3,17.8,18.2,18.8,19.2,20.0,21.4
54,-0.3541,16.3283,0.0845,1.3797,12.7,13.5,14.0,14.3,14.7,15.0,15.4,16.3,17.3,17.8,18.2,18.8,19.2,20.0,21.5
