Month,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0.0,1,34.4618,0.03686,1.27026,30.5,31.5,32.1,32.4,32.8,33.1,33.6,34.5,35.3,35.8,36.1,36.6,36.9,37.4,38.4
0.23094688221709006,1,35.1634,0.03472,1.22087,31.4,32.3,32.9,33.2,33.6,33.9,34.3,35.2,36.0,36.4,36.7,37.2,37.5,38.0,38.9
0.4618937644341801,1,35.8649,0.03258,1.16848,32.3,33.1,33.7,33.9,34.4,34.7,35.1,35.9,36.7,37.1,37.4,37.8,38.1,38.6,39.5
0.6928406466512702,1,36.5216,0.03197,1.1676,32.9,33.8,34.3,34.6,35.0,35.3,35.7,36.5,37.3,37.7,38.0,38.4,38.7,39.2,40.1
0.9237875288683602,1,37.0926,0.03148,1.16768,33.5,34.4,34.9,35.2,35.6,35.9,36.3,37.1,37.9,38.3,38.6,39.0,39.3,39.8,40.7
1.0,1,37.2759,0.03133,1.16785,33.7,34.6,35.1,35.4,35.8,36.1,36.5,37.3,38.1,38.5,38.8,39.2,39.5,40.0,40.9
1.1547344110854503,1,37.601,0.03107,1.16826,34.0,34.9,35.4,35.7,36.1,36.4,36.8,37.6,38.4,38.8,39.1,39.5,39.8,40.3,41.2
1.3856812933025404,1,38.0609,0.03072,1.16923,34.4,35.3,35.9,36.1,36.6,36.8,37.3,38.1,38.8,39.3,39.6,40.0,40.3,40.8,41.7
1.6166281755196306,1,38.4824,0.03041,1.17025,34.9,35.8,36.3,36.6,37.0,37.3,37.7,38.5,39.3,39.7,40.0,40.4,40.7,41.2,42.1
1.8475750577367205,1,38.8724,0.03014,1.17161,35.3,36.1,36.7,36.9,37.4,37.7,38.1,38.9,39.7,40.1,40.4,40.8,41.1,41.6,42.5
2.0,1,39.1285,0.02997,1.17268,35.5,36.4,36.9,37.2,37.6,37.9,38.3,39.1,39.9,40.3,40.6,41.1,41.3,41.9,42.8
2.0785219399538106,1,39.2368,0.0299,1.17318,35.6,36.5,37.0,37.3,37.7,38.0,38.4,39.2,40.0,40.5,40.7,41.2,41.4,42.0,42.9
2.3094688221709005,1,39.5797,0.02969,1.17512,35.9,36.8,37.4,37.6,38.1,38.4,38.8,39.6,40.4,40.8,41.1,41.5,41.8,42.3,43.2
2.540415704387991,1,39.9033,0.0295,1.17715,36.3,37.2,37.7,38.0,38.4,38.7,39.1,39.9,40.7,41.1,41.4,41.8,42.1,42.6,43.5
2.771362586605081,1,40.2096,0.02933,1.17935,36.6,37.5,38.0,38.3,38.7,39.0,39.4,40.2,41.0,41.4,41.7,42.1,42.4,43.0,43.9
3.0,1,40.5135,0.02918,1.18218,36.9,37.8,38.3,38.6,39.0,39.3,39.7,40.5,41.3,41.7,42.0,42.5,42.7,43.3,44.2
3.0023094688221708,1,40.5008,0.02918,1.18181,36.8,37.8,38.3,38.6,39.0,39.3,39.7,40.5,41.3,41.7,42.0,42.4,42.7,43.3,44.2
4.0,1,41.6317,0.02868,1.194,37.9,38.9,39.4,39.7,40.1,40.4,40.8,41.6,42.4,42.9,43.2,43.6,43.9,44.4,45.3
5.0,1,42.5576,0.02837,1.20736,38.8,39.7,40.3,40.6,41.0,41.3,41.7,42.6,43.4,43.8,44.1,44.5,44.8,45.4,46.3
6.0,1,43.3306,0.02817,1.22062,39.6,40.5,41.0,41.3,41.8,42.1,42.5,43.3,44.2,44.6,44.9,45.3,45.6,46.2,47.1
7.0,1,43.9803,0.02804,1.23321,40.2,41.1,41.7,42.0,42.4,42.7,43.1,44.0,44.8,45.3,45.6,46.0,46.3,46.8,47.8
8.0,1,44.53,0.02796,1.24506,40.7,41.6,42.2,42.5,42.9,43.2,43.7,44.5,45.4,45.8,46.1,46.6,46.9,47.4,48.4
9.0,1,44.9998,0.02792,1.25639,41.1,42.1,42.6,42.9,43.4,43.7,44.2,45.0,45.8,46.3,46.6,47.1,47.4,47.9,48.9
10.0,1,45.4051,0.0279,1.2668,41.5,42.5,43.0,43.3,43.8,44.1,44.6,45.4,46.3,46.7,47.0,47.5,47.8,48.4,49.3
11.0,1,45.7573,0.02789,1.27617,41.8,42.8,43.4,43.7,44.1,44.4,44.9,45.8,46.6,47.1,47.4,47.9,48.2,48.7,49.7
12.0,1,46.0661,0.02789,1.28478,42.1,43.1,43.6,44.0,44.4,44.7,45.2,46.1,46.9,47.4,47.7,48.2,48.5,49.1,50.0
13.0,1,46.3395,0.02789,1.29241,42.3,43.3,43.9,44.2,44.7,45.0,45.5,46.3,47.2,47.7,48.0,48.5,48.8,49.3,50.3
14.0,1,46.5844,0.02791,1.30017,42.6,43.6,44.1,44.4,44.9,45.2,45.7,46.6,47.5,47.9,48.3,48.7,49.0,49.6,50.6
15.0,1,46.806,0.02792,1.30682,42.8,43.8,44.3,44.7,45.1,45.5,45.9,46.8,47.7,48.2,48.5,49.0,49.3,49.8,50.8
16.0,1,47.0088,0.02795,1.3139,42.9,44.0,44.5,44.8,45.3,45.6,46.1,47.0,47.9,48.4,48.7,49.2,49.5,50.1,51.1
17.0,1,47.1962,0.02797,1.32008,43.1,44.1,44.7,45.0,45.5,45.8,46.3,47.2,48.1,48.6,48.9,49.4,49.7,50.3,51.3
18.0,1,47.3711,0.028,1.32639,43.3,44.3,44.9,45.2,45.7,46.0,46.5,47.4,48.3,48.7,49.1,49.6,49.9,50.5,51.5
19.0,1,47.5357,0.02803,1.33243,43.4,44.4,45.0,45.3,45.8,46.2,46.6,47.5,48.4,48.9,49.2,49.7,50.0,50.6,51.7
20.0,1,47.6919,0.02806,1.33823,43.6,44.6,45.2,45.5,46.0,46.3,46.8,47.7,48.6,49.1,49.4,49.9,50.2,50.8,51.8
