Month,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0.0,1,49.8842,0.03795,1.8931,44.0,45.5,46.3,46.8,47.5,47.9,48.6,49.9,51.2,51.8,52.3,53.0,53.4,54.3,55.7
0.23094688221709006,1,51.1152,0.03723,1.903,45.2,46.7,47.5,48.0,48.7,49.1,49.8,51.1,52.4,53.1,53.6,54.2,54.7,55.5,57.0
0.4618937644341801,1,52.3461,0.03652,1.9117,46.4,47.9,48.8,49.2,49.9,50.4,51.1,52.3,53.6,54.3,54.8,55.5,55.9,56.8,58.3
0.6928406466512702,1,53.3905,0.03609,1.9269,47.4,48.9,49.8,50.2,50.9,51.4,52.1,53.4,54.7,55.4,55.9,56.6,57.0,57.9,59.3
0.9237875288683602,1,54.3881,0.0357,1.9417,48.4,49.9,50.7,51.2,51.9,52.4,53.1,54.4,55.7,56.4,56.9,57.6,58.0,58.9,60.4
1.0,1,54.7244,0.03557,1.9465,48.7,50.2,51.1,51.5,52.2,52.7,53.4,54.7,56.0,56.7,57.2,57.9,58.4,59.3,60.7
1.1547344110854503,1,55.3374,0.03534,1.9556,49.3,50.8,51.7,52.1,52.8,53.3,54.0,55.3,56.7,57.4,57.8,58.6,59.0,59.9,61.4
1.3856812933025404,1,56.2357,0.03501,1.9688,50.2,51.7,52.5,53.0,53.7,54.2,54.9,56.2,57.6,58.3,58.8,59.5,59.9,60.8,62.3
1.6166281755196306,1,57.0851,0.0347,1.9809,51.0,52.5,53.4,53.8,54.5,55.0,55.7,57.1,58.4,59.1,59.6,60.3,60.8,61.7,63.2
1.8475750577367205,1,57.8889,0.03442,1.9925,51.7,53.3,54.1,54.6,55.3,55.8,56.5,57.9,59.2,60.0,60.4,61.2,61.6,62.5,64.0
2.0,1,58.4249,0.03424,2.0005,52.2,53.8,54.7,55.1,55.9,56.4,57.1,58.4,59.8,60.5,61.0,61.7,62.2,63.1,64.6
2.0785219399538106,1,58.6536,0.03416,2.0036,52.5,54.0,54.9,55.4,56.1,56.6,57.3,58.7,60.0,60.7,61.2,61.9,62.4,63.3,64.8
2.3094688221709005,1,59.3872,0.03392,2.0144,53.2,54.7,55.6,56.1,56.8,57.3,58.0,59.4,60.7,61.5,62.0,62.7,63.2,64.1,65.6
2.540415704387991,1,60.0894,0.03369,2.0244,53.8,55.4,56.3,56.8,57.5,58.0,58.7,60.1,61.5,62.2,62.7,63.4,63.9,64.8,66.3
2.771362586605081,1,60.7605,0.03348,2.0343,54.5,56.0,56.9,57.4,58.2,58.7,59.4,60.8,62.1,62.9,63.4,64.1,64.6,65.5,67.0
3.0,1,61.4292,0.03328,2.0444,55.1,56.7,57.6,58.1,58.8,59.3,60.1,61.4,62.8,63.5,64.0,64.8,65.3,66.2,67.7
3.0023094688221708,1,61.4013,0.03329,2.044,55.1,56.6,57.6,58.0,58.8,59.3,60.0,61.4,62.8,63.5,64.0,64.8,65.2,66.2,67.7
4.0,1,63.886,0.03257,2.0808,57.5,59.0,60.0,60.5,61.2,61.7,62.5,63.9,65.3,66.0,66.6,67.3,67.8,68.7,70.3
5.0,1,65.9026,0.03204,2.1115,59.4,61.0,61.9,62.4,63.2,63.7,64.5,65.9,67.3,68.1,68.6,69.4,69.9,70.8,72.4
6.0,1,67.6236,0.03165,2.1403,61.0,62.6,63.6,64.1,64.9,65.4,66.2,67.6,69.1,69.8,70.4,71.1,71.6,72.6,74.2
7.0,1,69.1645,0.03139,2.1711,62.5,64.1,65.1,65.6,66.4,66.9,67.7,69.2,70.6,71.4,71.9,72.7,73.2,74.2,75.9
8.0,1,70.5994,0.03124,2.2055,63.8,65.5,66.5,67.0,67.8,68.3,69.1,70.6,72.1,72.9,73.4,74.2,74.7,75.7,77.4
9.0,1,71.9687,0.03117,2.2433,65.0,66.8,67.7,68.3,69.1,69.6,70.5,72.0,73.5,74.3,74.8,75.7,76.2,77.2,78.9
10.0,1,73.2812,0.03118,2.2849,66.2,68.0,69.0,69.5,70.4,70.9,71.7,73.3,74.8,75.6,76.2,77.0,77.6,78.6,80.3
11.0,1,74.5388,0.03125,2.3293,67.3,69.1,70.2,70.7,71.6,72.1,73.0,74.5,76.1,77.0,77.5,78.4,78.9,80.0,81.7
12.0,1,75.7488,0.03137,2.3762,68.4,70.2,71.3,71.8,72.7,73.3,74.1,75.7,77.4,78.2,78.8,79.7,80.2,81.3,83.1
13.0,1,76.9186,0.03154,2.426,69.4,71.3,72.4,72.9,73.8,74.4,75.3,76.9,78.6,79.4,80.0,80.9,81.5,82.6,84.4
14.0,1,78.0497,0.03174,2.4773,70.4,72.3,73.4,74.0,74.9,75.5,76.4,78.0,79.7,80.6,81.2,82.1,82.7,83.8,85.7
15.0,1,79.1458,0.03197,2.5303,71.3,73.3,74.4,75.0,75.9,76.5,77.4,79.1,80.9,81.8,82.4,83.3,83.9,85.0,87.0
16.0,1,80.2113,0.03222,2.5844,72.2,74.2,75.4,76.0,76.9,77.5,78.5,80.2,82.0,82.9,83.5,84.5,85.1,86.2,88.2
17.0,1,81.2487,0.0325,2.6406,73.1,75.1,76.3,76.9,77.9,78.5,79.5,81.2,83.0,84.0,84.6,85.6,86.2,87.4,89.4
18.0,1,82.2587,0.03279,2.6973,73.9,76.0,77.2,77.8,78.8,79.5,80.4,82.3,84.1,85.1,85.7,86.7,87.3,88.5,90.6
19.0,1,83.2418,0.0331,2.7553,74.7,76.8,78.1,78.7,79.7,80.4,81.4,83.2,85.1,86.1,86.8,87.8,88.4,89.7,91.8
20.0,1,84.1996,0.03342,2.814,75.5,77.7,78.9,79.6,80.6,81.3,82.3,84.2,86.1,87.1,87.8,88.8,89.5,90.7,92.9
21.0,1,85.1348,0.03376,2.8742,76.3,78.4,79.7,80.4,81.5,82.2,83.2,85.1,87.1,88.1,88.8,89.9,90.5,91.8,94.0
22.0,1,86.0477,0.0341,2.9342,77.0,79.2,80.5,81.2,82.3,83.0,84.1,86.0,88.0,89.1,89.8,90.9,91.6,92.9,95.1
23.0,1,86.941,0.03445,2.9951,77.7,80.0,81.3,82.0,83.1,83.8,84.9,86.9,89.0,90.0,90.8,91.9,92.6,93.9,96.2
24.0,1,87.1161,0.03507,3.0551,77.7,80.0,81.4,82.1,83.2,83.9,85.1,87.1,89.2,90.3,91.0,92.1,92.9,94.2,96.6
25.0,1,87.972,0.03542,3.116,78.3,80.7,82.1,82.8,84.0,84.7,85.9,88.0,90.1,91.2,92.0,93.1,93.8,95.2,97.6
26.0,1,88.8065,0.03576,3.1757,79.0,81.4,82.8,83.6,84.7,85.5,86.7,88.8,90.9,92.1,92.9,94.0,94.8,96.2,98.6
27.0,1,89.6197,0.0361,3.2353,79.6,82.1,83.5,84.3,85.5,86.3,87.4,89.6,91.8,93.0,93.8,94.9,95.7,97.1,99.6
28.0,1,90.412,0.03642,3.2928,80.2,82.8,84.2,85.0,86.2,87.0,88.2,90.4,92.6,93.8,94.6,95.8,96.6,98.1,100.6
29.0,1,91.1828,0.03674,3.3501,80.8,83.4,84.9,85.7,86.9,87.7,88.9,91.2,93.4,94.7,95.5,96.7,97.5,99.0,101.5
30.0,1,91.9327,0.03704,3.4052,81.4,84.0,85.5,86.3,87.6,88.4,89.6,91.9,94.2,95.5,96.3,97.5,98.3,99.9,102.5
31.0,1,92.6631,0.03733,3.4591,82.0,84.6,86.2,87.0,88.2,89.1,90.3,92.7,95.0,96.2,97.1,98.4,99.2,100.7,103.4
32.0,1,93.3753,0.03761,3.5118,82.5,85.2,86.8,87.6,88.9,89.7,91.0,93.4,95.7,97.0,97.9,99.2,100.0,101.5,104.2
33.0,1,94.0711,0.03787,3.5625,83.1,85.8,87.4,88.2,89.5,90.4,91.7,94.1,96.5,97.8,98.6,99.9,100.8,102.4,105.1
34.0,1,94.7532,0.03812,3.612,83.6,86.4,88.0,88.8,90.1,91.0,92.3,94.8,97.2,98.5,99.4,100.7,101.5,103.2,105.9
35.0,1,95.4236,0.03836,3.6604,84.1,86.9,88.5,89.4,90.7,91.6,93.0,95.4,97.9,99.2,100.1,101.4,102.3,103.9,106.7
36.0,1,96.0835,0.03858,3.7069,84.6,87.5,89.1,90.0,91.3,92.2,93.6,96.1,98.6,99.9,100.8,102.2,103.1,104.7,107.5
37.0,1,96.7337,0.03879,3.7523,85.1,88.0,89.7,90.6,91.9,92.8,94.2,96.7,99.3,100.6,101.5,102.9,103.8,105.5,108.3
