Month,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
3,0.0027,9.7639,0.16618,1.62256,5.8,6.6,7.1,7.4,7.9,8.2,8.7,9.8,10.9,11.6,12.1,12.8,13.3,14.4,16.3
4,-0.0165,9.584,0.17264,1.65458,5.6,6.4,6.9,7.2,7.7,8.0,8.5,9.6,10.8,11.5,12.0,12.7,13.3,14.3,16.4
5,-0.0326,9.3885,0.17824,1.67341,5.4,6.2,6.7,7.0,7.5,7.8,8.3,9.4,10.6,11.3,11.8,12.6,13.2,14.3,16.4
6,-0.0466,9.1729,0.18304,1.67901,5.2,6.0,6.5,6.8,7.3,7.6,8.1,9.2,10.4,11.1,11.6,12.4,13.0,14.1,16.3
7,-0.059,8.9535,0.18685,1.67296,5.1,5.8,6.3,6.6,7.1,7.4,7.9,9.0,10.2,10.9,11.4,12.2,12.8,13.9,16.1
8,-0.0703,8.7435,0.18968,1.65847,4.9,5.7,6.1,6.4,6.9,7.2,7.7,8.7,9.9,10.7,11.2,12.0,12.5,13.7,15.9
9,-0.0806,8.5518,0.19166,1.63904,4.8,5.5,6.0,6.3,6.7,7.0,7.5,8.6,9.7,10.4,11.0,11.8,12.3,13.5,15.7
10,-0.0901,8.3812,0.193,1.61757,4.7,5.4,5.9,6.1,6.6,6.9,7.4,8.4,9.6,10.3,10.8,11.6,12.1,13.3,15.5
11,-0.099,8.2323,0.19389,1.59616,4.6,5.3,5.8,6.0,6.4,6.7,7.2,8.2,9.4,10.1,10.6,11.4,11.9,13.1,15.3
12,-0.1073,8.1041,0.19453,1.57649,4.5,5.2,5.7,5.9,6.3,6.6,7.1,8.1,9.2,9.9,10.4,11.2,11.8,12.9,15.1
13,-0.1152,7.9958,0.19506,1.55966,4.5,5.1,5.6,5.8,6.2,6.5,7.0,8.0,9.1,9.8,10.3,11.1,11.6,12.7,14.9
14,-0.1227,7.9064,0.19558,1.54633,4.4,5.1,5.5,5.8,6.2,6.5,6.9,7.9,9.0,9.7,10.2,11.0,11.5,12.6,14.8
15,-0.1297,7.8345,0.19612,1.5365,4.4,5.0,5.5,5.7,6.1,6.4,6.9,7.8,9.0,9.6,10.1,10.9,11.4,12.5,14.7
16,-0.1365,7.7781,0.19668,1.5298,4.3,5.0,5.4,5.7,6.1,6.4,6.8,7.8,8.9,9.6,10.1,10.8,11.4,12.5,14.7
17,-0.143,7.7351,0.19728,1.52598,4.3,5.0,5.4,5.6,6.0,6.3,6.8,7.7,8.8,9.5,10.0,10.8,11.3,12.4,14.6
18,-0.1492,7.7036,0.19793,1.52477,4.3,4.9,5.4,5.6,6.0,6.3,6.7,7.7,8.8,9.5,10.0,10.8,11.3,12.4,14.6
19,-0.1552,7.6821,0.19862,1.52582,4.3,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.8,9.5,10.0,10.7,11.3,12.4,14.6
20,-0.1609,7.6697,0.19937,1.52911,4.3,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.8,9.5,10.0,10.7,11.3,12.4,14.7
21,-0.1665,7.6652,0.20018,1.53442,4.3,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.8,9.5,10.0,10.8,11.3,12.4,14.7
22,-0.1719,7.6675,0.20105,1.54155,4.2,4.9,5.3,5.6,6.0,6.2,6.7,7.7,8.8,9.5,10.0,10.8,11.3,12.5,14.8
23,-0.1771,7.675,0.20196,1.55004,4.2,4.9,5.3,5.6,6.0,6.2,6.7,7.7,8.8,9.5,10.0,10.8,11.4,12.5,14.9
24,-0.1821,7.6863,0.20293,1.55978,4.2,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.8,9.5,10.0,10.8,11.4,12.6,15.0
25,-0.187,7.7003,0.20394,1.5704,4.2,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.9,9.6,10.1,10.9,11.5,12.7,15.1
26,-0.1918,7.7156,0.20497,1.58147,4.2,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.9,9.6,10.1,10.9,11.5,12.7,15.2
27,-0.1965,7.7312,0.20603,1.59286,4.2,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.9,9.6,10.1,11.0,11.6,12.8,15.3
28,-0.201,7.7463,0.2071,1.60426,4.2,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.9,9.6,10.2,11.0,11.6,12.9,15.4
29,-0.2054,7.7602,0.20818,1.61552,4.2,4.9,5.3,5.6,6.0,6.3,6.8,7.8,8.9,9.7,10.2,11.1,11.7,12.9,15.5
30,-0.2097,7.7726,0.20928,1.62665,4.2,4.9,5.3,5.6,6.0,6.3,6.8,7.8,9.0,9.7,10.2,11.1,11.7,13.0,15.6
31,-0.2139,7.7832,0.21039,1.63751,4.2,4.9,5.3,5.6,6.0,6.3,6.8,7.8,9.0,9.7,10.3,11.2,11.8,13.1,15.7
32,-0.218,7.792,0.21153,1.64824,4.2,4.9,5.3,5.6,6.0,6.3,6.8,7.8,9.0,9.8,10.3,11.2,11.8,13.1,15.8
33,-0.2221,7.7989,0.21269,1.65875,4.2,4.9,5.3,5.6,6.0,6.3,6.8,7.8,9.0,9.8,10.3,11.2,11.9,13.2,15.9
34,-0.226,7.804,0.21389,1.6692,4.2,4.9,5.3,5.6,6.0,6.3,6.8,7.8,9.0,9.8,10.4,11.3,11.9,13.2,16.0
