Month,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
3,0.1875,9.7516,0.17535,1.70994,5.5,6.4,6.9,7.2,7.8,8.1,8.7,9.8,11.0,11.7,12.2,12.9,13.4,14.4,16.3
4,0.1256,9.5866,0.18337,1.75789,5.3,6.2,6.7,7.0,7.6,7.9,8.5,9.6,10.8,11.6,12.1,12.9,13.4,14.5,16.6
5,0.0761,9.3716,0.19007,1.78126,5.1,6.0,6.5,6.8,7.3,7.7,8.2,9.4,10.6,11.4,11.9,12.8,13.3,14.5,16.6
6,0.0349,9.1194,0.1954,1.78193,5.0,5.8,6.3,6.6,7.1,7.4,8.0,9.1,10.4,11.2,11.7,12.6,13.1,14.3,16.6
7,-0.0003,8.8621,0.19934,1.76657,4.8,5.6,6.1,6.4,6.9,7.2,7.7,8.9,10.1,10.9,11.4,12.3,12.9,14.1,16.4
8,-0.0307,8.6228,0.20192,1.74112,4.6,5.4,5.9,6.2,6.7,7.0,7.5,8.6,9.9,10.6,11.2,12.0,12.6,13.8,16.2
9,-0.0572,8.4164,0.20339,1.71181,4.5,5.3,5.8,6.0,6.5,6.8,7.3,8.4,9.7,10.4,10.9,11.8,12.4,13.6,16.0
10,-0.0799,8.2468,0.20413,1.68342,4.5,5.2,5.7,5.9,6.4,6.7,7.2,8.2,9.5,10.2,10.7,11.6,12.2,13.4,15.8
11,-0.0995,8.1114,0.20442,1.65813,4.4,5.1,5.6,5.8,6.3,6.6,7.1,8.1,9.3,10.0,10.6,11.4,12.0,13.2,15.6
12,-0.1161,8.0042,0.20445,1.63646,4.4,5.0,5.5,5.8,6.2,6.5,7.0,8.0,9.2,9.9,10.4,11.3,11.9,13.1,15.4
13,-0.1303,7.9197,0.20432,1.61815,4.3,5.0,5.4,5.7,6.1,6.4,6.9,7.9,9.1,9.8,10.3,11.2,11.7,12.9,15.3
14,-0.1424,7.8538,0.20409,1.60288,4.3,5.0,5.4,5.7,6.1,6.4,6.9,7.9,9.0,9.7,10.3,11.1,11.7,12.8,15.2
15,-0.1527,7.8041,0.20384,1.59079,4.3,4.9,5.4,5.6,6.0,6.3,6.8,7.8,9.0,9.7,10.2,11.0,11.6,12.8,15.1
16,-0.1615,7.7681,0.20363,1.58182,4.3,4.9,5.4,5.6,6.0,6.3,6.8,7.8,8.9,9.6,10.1,11.0,11.5,12.7,15.1
17,-0.169,7.7443,0.2035,1.57597,4.3,4.9,5.3,5.6,6.0,6.3,6.8,7.7,8.9,9.6,10.1,10.9,11.5,12.7,15.1
18,-0.1755,7.7315,0.2035,1.57336,4.3,4.9,5.3,5.6,6.0,6.3,6.8,7.7,8.9,9.6,10.1,10.9,11.5,12.7,15.1
19,-0.1811,7.7287,0.20364,1.57387,4.3,4.9,5.3,5.6,6.0,6.3,6.7,7.7,8.9,9.6,10.1,10.9,11.5,12.7,15.1
20,-0.1859,7.7347,0.20393,1.57734,4.3,4.9,5.3,5.6,6.0,6.3,6.8,7.7,8.9,9.6,10.1,10.9,11.5,12.7,15.1
21,-0.1901,7.7484,0.20437,1.58354,4.3,4.9,5.3,5.6,6.0,6.3,6.8,7.7,8.9,9.6,10.1,11.0,11.5,12.8,15.2
22,-0.1939,7.7692,0.20496,1.59238,4.3,4.9,5.4,5.6,6.0,6.3,6.8,7.8,8.9,9.7,10.2,11.0,11.6,12.8,15.3
23,-0.1973,7.7958,0.20568,1.60344,4.3,4.9,5.4,5.6,6.0,6.3,6.8,7.8,9.0,9.7,10.2,11.1,11.7,12.9,15.4
24,-0.2004,7.8273,0.20652,1.61649,4.3,4.9,5.4,5.6,6.0,6.3,6.8,7.8,9.0,9.7,10.3,11.1,11.7,13.0,15.5
25,-0.2032,7.8628,0.20748,1.63137,4.3,5.0,5.4,5.7,6.1,6.4,6.8,7.9,9.1,9.8,10.3,11.2,11.8,13.1,15.6
26,-0.2058,7.9006,0.20855,1.64767,4.3,5.0,5.4,5.7,6.1,6.4,6.9,7.9,9.1,9.9,10.4,11.3,11.9,13.2,15.8
