Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
3,-0.30329448,7.689941758,0.170201507,4.7,5.3,5.7,5.9,6.2,6.5,6.9,7.7,8.6,9.2,9.6,10.3,10.8,11.7,13.6
4,-0.327825202,7.49680922,0.170966191,4.6,5.2,5.5,5.7,6.1,6.3,6.7,7.5,8.4,9.0,9.4,10.1,10.5,11.5,13.4
5,-0.350275842,7.320710212,0.171666036,4.5,5.0,5.4,5.6,5.9,6.2,6.5,7.3,8.2,8.8,9.2,9.9,10.3,11.3,13.2
6,-0.371196804,7.15876782,0.172318199,4.4,4.9,5.3,5.5,5.8,6.0,6.4,7.2,8.1,8.6,9.0,9.7,10.1,11.0,13.0
7,-0.390925753,7.01042381,0.172933203,4.3,4.8,5.2,5.4,5.7,5.9,6.3,7.0,7.9,8.4,8.8,9.5,9.9,10.9,12.8
8,-0.409688568,6.875319551,0.173518083,4.2,4.7,5.1,5.2,5.6,5.8,6.1,6.9,7.8,8.3,8.7,9.3,9.8,10.7,12.6
9,-0.427645666,6.752963202,0.17407784,4.2,4.6,5.0,5.2,5.5,5.7,6.0,6.8,7.6,8.1,8.5,9.2,9.6,10.5,12.4
10,-0.444916117,6.642817271,0.174616187,4.1,4.6,4.9,5.1,5.4,5.6,5.9,6.6,7.5,8.0,8.4,9.0,9.5,10.4,12.3
11,-0.461591367,6.54418809,0.175135975,4.0,4.5,4.8,5.0,5.3,5.5,5.8,6.5,7.4,7.9,8.3,8.9,9.4,10.3,12.2
12,-0.477743544,6.456191745,0.175639457,4.0,4.4,4.8,4.9,5.2,5.4,5.8,6.5,7.3,7.8,8.2,8.8,9.2,10.2,12.1
13,-0.493430803,6.377982347,0.176128447,3.9,4.4,4.7,4.9,5.1,5.4,5.7,6.4,7.2,7.7,8.1,8.7,9.2,10.1,12.0
14,-0.508700871,6.308515778,0.176604437,3.9,4.3,4.6,4.8,5.1,5.3,5.6,6.3,7.1,7.6,8.0,8.6,9.1,10.0,12.0
15,-0.523593536,6.246838928,0.177068668,3.9,4.3,4.6,4.8,5.0,5.2,5.6,6.2,7.1,7.6,8.0,8.6,9.0,9.9,11.9
16,-0.538142401,6.19210017,0.177522191,3.8,4.3,4.6,4.7,5.0,5.2,5.5,6.2,7.0,7.5,7.9,8.5,8.9,9.9,11.9
17,-0.552376176,6.143512301,0.177965901,3.8,4.2,4.5,4.7,5.0,5.2,5.5,6.1,7.0,7.5,7.8,8.5,8.9,9.8,11.8
18,-0.566319629,6.100261367,0.178400571,3.8,4.2,4.5,4.7,4.9,5.1,5.4,6.1,6.9,7.4,7.8,8.4,8.9,9.8,11.8
19,-0.579994324,6.061661748,0.178826874,3.8,4.2,4.5,4.6,4.9,5.1,5.4,6.1,6.9,7.4,7.8,8.4,8.8,9.8,11.8
20,-0.593419186,6.027428234,0.179245401,3.7,4.2,4.4,4.6,4.9,5.1,5.4,6.0,6.8,7.3,7.7,8.3,8.8,9.7,11.8
21,-0.606610934,5.997225253,0.179656673,3.7,4.1,4.4,4.6,4.8,5.0,5.3,6.0,6.8,7.3,7.7,8.3,8.8,9.7,11.8
22,-0.619584429,5.970602981,0.180061154,3.7,4.1,4.4,4.5,4.8,5.0,5.3,6.0,6.8,7.3,7.7,8.3,8.7,9.7,11.8
23,-0.632352949,5.946981121,0.180459256,3.7,4.1,4.4,4.5,4.8,5.0,5.3,5.9,6.7,7.3,7.6,8.3,8.7,9.7,11.8
24,-0.644928428,5.925817091,0.180851352,3.7,4.1,4.4,4.5,4.8,5.0,5.3,5.9,6.7,7.2,7.6,8.2,8.7,9.7,11.9
25,-0.657321649,5.906666664,0.181237777,3.7,4.1,4.3,4.5,4.8,4.9,5.3,5.9,6.7,7.2,7.6,8.2,8.7,9.7,11.9
26,-0.669542399,5.889141911,0.181618836,3.7,4.1,4.3,4.5,4.7,4.9,5.2,5.9,6.7,7.2,7.6,8.2,8.7,9.7,11.9
27,-0.68159959,5.872872287,0.181994805,3.6,4.0,4.3,4.5,4.7,4.9,5.2,5.9,6.7,7.2,7.6,8.2,8.7,9.7,11.9
28,-0.693501368,5.85759529,0.182365938,3.6,4.0,4.3,4.5,4.7,4.9,5.2,5.9,6.7,7.2,7.6,8.2,8.7,9.7,12.0
29,-0.705255208,5.843060464,0.182732465,3.6,4.0,4.3,4.4,4.7,4.9,5.2,5.8,6.6,7.2,7.5,8.2,8.7,9.7,12.0
30,-0.71686798,5.82895549,0.183094601,3.6,4.0,4.3,4.4,4.7,4.9,5.2,5.8,6.6,7.1,7.5,8.2,8.7,9.7,12.0
31,-0.728346023,5.815024423,0.183452542,3.6,4.0,4.3,4.4,4.7,4.9,5.2,5.8,6.6,7.1,7.5,8.2,8.7,9.7,12.1
32,-0.739695197,5.80109012,0.183806469,3.6,4.0,4.3,4.4,4.7,4.9,5.2,5.8,6.6,7.1,7.5,8.2,8.6,9.7,12.1
33,-0.750920936,5.787020106,0.184156552,3.6,4.0,4.3,4.4,4.7,4.8,5.1,5.8,6.6,7.1,7.5,8.2,8.6,9.7,12.2
34,-0.762028287,5.772667395,0.184502946,3.6,4.0,4.2,4.4,4.6,4.8,5.1,5.8,6.6,7.1,7.5,8.2,8.6,9.7,12.2
35,-0.773021945,5.757973875,0.184845798,3.6,4.0,4.2,4.4,4.6,4.8,5.1,5.8,6.6,7.1,7.5,8.1,8.6,9.7,12.2
36,-0.783906296,5.742994478,0.185185244,3.6,4.0,4.2,4.4,4.6,4.8,5.1,5.7,6.5,7.1,7.5,8.1,8.6,9.7,12.3
37,-0.794685447,5.727810645,0.18552141,3.6,4.0,4.2,4.4,4.6,4.8,5.1,5.7,6.5,7.1,7.5,8.1,8.6,9.7,12.3
38,-0.805363238,5.71250586,0.185854416,3.6,3.9,4.2,4.3,4.6,4.8,5.1,5.7,6.5,7.0,7.4,8.1,8.6,9.7,12.3
39,-0.815943271,5.697082684,0.186184373,3.6,3.9,4.2,4.3,4.6,4.8,5.1,5.7,6.5,7.0,7.4,8.1,8.6,9.7,12.4
40,-0.826428927,5.681529821,0.186511386,3.5,3.9,4.2,4.3,4.6,4.7,5.0,5.7,6.5,7.0,7.4,8.1,8.6,9.7,12.4
41,-0.836823391,5.66584551,0.186835554,3.5,3.9,4.2,4.3,4.6,4.7,5.0,5.7,6.5,7.0,7.4,8.1,8.6,9.7,12.5
42,-0.847129656,5.649980295,0.187156971,3.5,3.9,4.2,4.3,4.5,4.7,5.0,5.6,6.5,7.0,7.4,8.1,8.6,9.7,12.5
43,-0.857350548,5.633858435,0.187475724,3.5,3.9,4.1,4.3,4.5,4.7,5.0,5.6,6.4,7.0,7.4,8.1,8.6,9.7,12.5
44,-0.867488737,5.617402386,0.187791896,3.5,3.9,4.1,4.3,4.5,4.7,5.0,5.6,6.4,7.0,7.4,8.0,8.6,9.7,12.6
45,-0.877546756,5.600575618,0.188105566,3.5,3.9,4.1,4.3,4.5,4.7,5.0,5.6,6.4,6.9,7.3,8.0,8.6,9.7,12.6
46,-0.887527004,5.583389652,0.188416808,3.5,3.9,4.1,4.2,4.5,4.7,4.9,5.6,6.4,6.9,7.3,8.0,8.5,9.7,12.7
47,-0.897431761,5.565911155,0.188725694,3.5,3.8,4.1,4.2,4.5,4.6,4.9,5.6,6.4,6.9,7.3,8.0,8.5,9.7,12.7
48,-0.907263193,5.548186434,0.18903229,3.5,3.8,4.1,4.2,4.5,4.6,4.9,5.5,6.4,6.9,7.3,8.0,8.5,9.7,12.8
49,-0.917023361,5.530324753,0.189336661,3.5,3.8,4.1,4.2,4.4,4.6,4.9,5.5,6.3,6.9,7.3,8.0,8.5,9.7,12.8
50,-0.926714224,5.51246909,0.189638866,3.5,3.8,4.1,4.2,4.4,4.6,4.9,5.5,6.3,6.8,7.3,8.0,8.5,9.7,12.8
51,-0.936337649,5.494774185,0.189938966,3.4,3.8,4.0,4.2,4.4,4.6,4.9,5.5,6.3,6.8,7.2,8.0,8.5,9.7,12.9
52,-0.94589542,5.477417729,0.190237014,3.4,3.8,4.0,4.2,4.4,4.6,4.9,5.5,6.3,6.8,7.2,7.9,8.5,9.7,12.9
53,-0.955389236,5.460558581,0.190533065,3.4,3.8,4.0,4.2,4.4,4.6,4.8,5.5,6.3,6.8,7.2,7.9,8.5,9.7,13.0
54,-0.96482072,5.444317367,0.190827168,3.4,3.8,4.0,4.1,4.4,4.5,4.8,5.4,6.2,6.8,7.2,7.9,8.5,9.7,13.0
55,-0.974191424,5.428784023,0.191119373,3.4,3.8,4.0,4.1,4.4,4.5,4.8,5.4,6.2,6.8,7.2,7.9,8.5,9.7,13.1
56,-0.983502831,5.414006284,0.191409725,3.4,3.7,4.0,4.1,4.3,4.5,4.8,5.4,6.2,6.8,7.2,7.9,8.4,9.7,13.1
57,-0.992756361,5.400016744,0.19169827,3.4,3.7,4.0,4.1,4.3,4.5,4.8,5.4,6.2,6.7,7.2,7.9,8.4,9.7,13.2
58,-1.001953372,5.386836226,0.191985049,3.4,3.7,4.0,4.1,4.3,4.5,4.8,5.4,6.2,6.7,7.1,7.9,8.4,9.7,13.3
59,-1.01109517,5.374441154,0.192270104,3.4,3.7,3.9,4.1,4.3,4.5,4.8,5.4,6.2,6.7,7.1,7.9,8.4,9.7,13.3
60,-1.020183002,5.362776874,0.192553474,3.4,3.7,3.9,4.1,4.3,4.5,4.7,5.4,6.2,6.7,7.1,7.9,8.4,9.8,13.4
