Month,L,M,S,SD,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
3,-0.2026,7.7846,0.18428,1.43455,4.5,5.2,5.6,5.8,6.2,6.5,6.9,7.8,8.8,9.5,9.9,10.6,11.2,12.2,14.3
4,-0.2577,7.5405,0.1843,1.38971,4.4,5.0,5.4,5.6,6.0,6.3,6.7,7.5,8.6,9.2,9.6,10.3,10.8,11.9,14.0
5,-0.302,7.3384,0.18428,1.35232,4.3,4.9,5.3,5.5,5.8,6.1,6.5,7.3,8.3,8.9,9.4,10.1,10.6,11.6,13.7
6,-0.3394,7.1637,0.18425,1.31991,4.3,4.8,5.2,5.4,5.7,6.0,6.3,7.2,8.1,8.7,9.2,9.9,10.4,11.4,13.5
7,-0.3718,7.0118,0.18421,1.29164,4.2,4.7,5.1,5.3,5.6,5.8,6.2,7.0,8.0,8.5,9.0,9.7,10.2,11.2,13.3
8,-0.4005,6.8807,0.18412,1.26687,4.1,4.6,5.0,5.2,5.5,5.7,6.1,6.9,7.8,8.4,8.8,9.5,10.0,11.0,13.1
9,-0.4263,6.7679,0.18399,1.24523,4.1,4.6,4.9,5.1,5.4,5.6,6.0,6.8,7.7,8.3,8.7,9.4,9.8,10.9,13.0
10,-0.4498,6.6707,0.18387,1.22654,4.0,4.5,4.8,5.0,5.3,5.6,5.9,6.7,7.6,8.1,8.6,9.2,9.7,10.7,12.9
11,-0.4713,6.5867,0.18381,1.2107,4.0,4.5,4.8,5.0,5.3,5.5,5.8,6.6,7.5,8.0,8.5,9.1,9.6,10.6,12.8
12,-0.4912,6.5138,0.18383,1.19743,3.9,4.4,4.7,4.9,5.2,5.4,5.8,6.5,7.4,8.0,8.4,9.0,9.5,10.5,12.7
13,-0.5098,6.4505,0.18394,1.1865,3.9,4.4,4.7,4.9,5.2,5.4,5.7,6.5,7.3,7.9,8.3,9.0,9.4,10.5,12.6
14,-0.5272,6.3955,0.18415,1.17773,3.9,4.3,4.7,4.8,5.1,5.3,5.7,6.4,7.3,7.8,8.2,8.9,9.4,10.4,12.6
15,-0.5435,6.3474,0.18446,1.17084,3.9,4.3,4.6,4.8,5.1,5.3,5.6,6.3,7.2,7.8,8.2,8.8,9.3,10.3,12.6
16,-0.559,6.3055,0.18487,1.1657,3.8,4.3,4.6,4.8,5.0,5.3,5.6,6.3,7.2,7.7,8.1,8.8,9.3,10.3,12.5
17,-0.5736,6.2689,0.18538,1.16213,3.8,4.3,4.6,4.7,5.0,5.2,5.6,6.3,7.1,7.7,8.1,8.8,9.2,10.3,12.6
18,-0.5876,6.2373,0.18598,1.16001,3.8,4.2,4.5,4.7,5.0,5.2,5.5,6.2,7.1,7.7,8.1,8.7,9.2,10.3,12.6
19,-0.6009,6.2101,0.18666,1.15918,3.8,4.2,4.5,4.7,5.0,5.2,5.5,6.2,7.1,7.6,8.0,8.7,9.2,10.3,12.6
20,-0.6136,6.1868,0.18741,1.15947,3.8,4.2,4.5,4.7,4.9,5.1,5.5,6.2,7.1,7.6,8.0,8.7,9.2,10.3,12.7
21,-0.6257,6.1669,0.18823,1.1608,3.8,4.2,4.5,4.6,4.9,5.1,5.5,6.2,7.0,7.6,8.0,8.7,9.2,10.3,12.7
22,-0.6374,6.15,0.18911,1.16303,3.7,4.2,4.5,4.6,4.9,5.1,5.4,6.2,7.0,7.6,8.0,8.7,9.2,10.3,12.8
23,-0.6487,6.1355,0.19005,1.16605,3.7,4.2,4.4,4.6,4.9,5.1,5.4,6.1,7.0,7.6,8.0,8.7,9.2,10.3,12.9
24,-0.6595,6.1232,0.19104,1.16978,3.7,4.1,4.4,4.6,4.9,5.1,5.4,6.1,7.0,7.6,8.0,8.7,9.2,10.4,12.9
25,-0.67,6.1129,0.19207,1.1741,3.7,4.1,4.4,4.6,4.9,5.1,5.4,6.1,7.0,7.6,8.0,8.7,9.2,10.4,13.0
26,-0.6801,6.1041,0.19315,1.17901,3.7,4.1,4.4,4.6,4.9,5.1,5.4,6.1,7.0,7.6,8.0,8.7,9.3,10.4,13.1
27,-0.6899,6.0968,0.19426,1.18436,3.7,4.1,4.4,4.6,4.8,5.0,5.4,6.1,7.0,7.6,8.0,8.7,9.3,10.5,13.2
28,-0.6994,6.0905,0.1954,1.19008,3.7,4.1,4.4,4.6,4.8,5.0,5.4,6.1,7.0,7.6,8.0,8.8,9.3,10.5,13.3
29,-0.7086,6.0851,0.19657,1.19615,3.7,4.1,4.4,4.5,4.8,5.0,5.4,6.1,7.0,7.6,8.0,8.8,9.3,10.6,13.5
30,-0.7175,6.0806,0.19776,1.2025,3.7,4.1,4.4,4.5,4.8,5.0,5.4,6.1,7.0,7.6,8.0,8.8,9.4,10.6,13.6
31,-0.7262,6.0766,0.19898,1.20912,3.7,4.1,4.4,4.5,4.8,5.0,5.3,6.1,7.0,7.6,8.1,8.8,9.4,10.7,13.7
32,-0.7347,6.0733,0.20021,1.21594,3.6,4.1,4.4,4.5,4.8,5.0,5.3,6.1,7.0,7.6,8.1,8.9,9.4,10.7,13.9
33,-0.7429,6.0705,0.20145,1.2229,3.6,4.1,4.3,4.5,4.8,5.0,5.3,6.1,7.0,7.6,8.1,8.9,9.5,10.8,14.0
34,-0.7509,6.0683,0.2027,1.23004,3.6,4.1,4.3,4.5,4.8,5.0,5.3,6.1,7.0,7.6,8.1,8.9,9.5,10.9,14.1
35,-0.7587,6.0665,0.20395,1.23726,3.6,4.0,4.3,4.5,4.8,5.0,5.3,6.1,7.0,7.6,8.1,8.9,9.5,10.9,14.3
36,-0.7664,6.0652,0.20521,1.24464,3.6,4.0,4.3,4.5,4.8,5.0,5.3,6.1,7.0,7.7,8.1,9.0,9.6,11.0,14.5
37,-0.7738,6.0643,0.20647,1.2521,3.6,4.0,4.3,4.5,4.8,5.0,5.3,6.1,7.0,7.7,8.2,9.0,9.6,11.1,14.6
38,-0.7811,6.0637,0.20773,1.25961,3.6,4.0,4.3,4.5,4.8,5.0,5.3,6.1,7.0,7.7,8.2,9.0,9.7,11.1,14.8
39,-0.7882,6.0633,0.20899,1.26717,3.6,4.0,4.3,4.5,4.8,5.0,5.3,6.1,7.0,7.7,8.2,9.1,9.7,11.2,15.0
40,-0.7952,6.0632,0.21024,1.27473,3.6,4.0,4.3,4.5,4.7,5.0,5.3,6.1,7.0,7.7,8.2,9.1,9.7,11.3,15.1
41,-0.802,6.0632,0.21149,1.28231,3.6,4.0,4.3,4.5,4.7,5.0,5.3,6.1,7.1,7.7,8.2,9.1,9.8,11.3,15.3
42,-0.8087,6.0634,0.21273,1.28987,3.6,4.0,4.3,4.5,4.7,4.9,5.3,6.1,7.1,7.7,8.3,9.1,9.8,11.4,15.5
43,-0.8152,6.0637,0.21396,1.29739,3.6,4.0,4.3,4.5,4.7,4.9,5.3,6.1,7.1,7.7,8.3,9.2,9.9,11.5,15.7
44,-0.8217,6.0641,0.21518,1.30487,3.6,4.0,4.3,4.4,4.7,4.9,5.3,6.1,7.1,7.8,8.3,9.2,9.9,11.6,15.9
45,-0.828,6.0647,0.21638,1.31228,3.6,4.0,4.3,4.4,4.7,4.9,5.3,6.1,7.1,7.8,8.3,9.2,10.0,11.6,16.1
46,-0.8341,6.0653,0.21758,1.31969,3.6,4.0,4.3,4.4,4.7,4.9,5.3,6.1,7.1,7.8,8.3,9.3,10.0,11.7,16.3
47,-0.8402,6.0661,0.21876,1.32702,3.6,4.0,4.3,4.4,4.7,4.9,5.3,6.1,7.1,7.8,8.4,9.3,10.0,11.8,16.5
48,-0.8462,6.0669,0.21993,1.33429,3.5,4.0,4.3,4.4,4.7,4.9,5.3,6.1,7.1,7.8,8.4,9.3,10.1,11.9,16.7
49,-0.852,6.0679,0.22109,1.34155,3.5,4.0,4.3,4.4,4.7,4.9,5.3,6.1,7.1,7.8,8.4,9.4,10.1,11.9,16.9
50,-0.8578,6.069,0.22223,1.34871,3.5,4.0,4.2,4.4,4.7,4.9,5.3,6.1,7.1,7.8,8.4,9.4,10.2,12.0,17.1
51,-0.8634,6.0703,0.22335,1.3558,3.5,4.0,4.2,4.4,4.7,4.9,5.3,6.1,7.1,7.9,8.4,9.4,10.2,12.1,17.3
52,-0.869,6.0717,0.22447,1.36291,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.1,7.9,8.5,9.5,10.3,12.2,17.6
53,-0.8745,6.0732,0.22556,1.36987,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.2,7.9,8.5,9.5,10.3,12.3,17.8
54,-0.8799,6.0748,0.22664,1.37679,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.2,7.9,8.5,9.5,10.4,12.3,18.0
55,-0.8852,6.0765,0.22771,1.38368,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.2,7.9,8.5,9.6,10.4,12.4,18.3
56,-0.8904,6.0784,0.22876,1.39049,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.2,7.9,8.5,9.6,10.5,12.5,18.5
57,-0.8955,6.0803,0.22979,1.39719,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.2,7.9,8.6,9.6,10.5,12.6,18.8
58,-0.9006,6.0823,0.23081,1.40386,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.2,8.0,8.6,9.7,10.5,12.7,19.1
59,-0.9056,6.0844,0.23182,1.41049,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.2,8.0,8.6,9.7,10.6,12.8,19.3
60,-0.9105,6.0865,0.2328,1.41694,3.5,3.9,4.2,4.4,4.7,4.9,5.3,6.1,7.2,8.0,8.6,9.7,10.6,12.8,19.6
