Height,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
77.0,-0.957840869,10.08653219,0.081713853,8.739261615,8.888586869,9.128540802,9.55907995,10.08653219,10.674144,11.01794159,11.26334412,11.64739801,11.91084201
77.5,-0.935908436,10.19868351,0.081394448,8.839167516,8.990097375,9.232504092,9.667046213,10.19868351,10.78999185,11.13546634,11.38184191,11.76703846,12.03099456
78.5,-0.89621042,10.42217324,0.080780644,9.038517201,9.192590101,9.439808634,9.882231734,10.42217324,11.02093382,11.36987072,11.61830668,12.00603364,12.27123186
79.5,-0.863423474,10.64473659,0.080208403,9.23736905,9.39448496,9.646379965,10.09652511,10.64473659,11.25114165,11.60377608,11.85449919,12.24521487,12.51204563
80.5,-0.839250279,10.86657146,0.079687207,9.43587839,9.595921376,9.852343066,10.31005891,10.86657146,11.4809532,11.837632,12.09096109,12.48528658,12.75426396
81.5,-0.825395013,11.08788714,0.079225952,9.634213141,9.797050683,10.05783406,10.52297639,11.08788714,11.71072003,12.07190393,12.32825177,12.72697467,12.99873959
82.5,-0.823487667,11.30890397,0.078832728,9.832552217,9.998035565,10.26300074,10.73543239,11.30890397,11.94080449,12.30706872,12.56694308,12.97102053,13.24634405
83.5,-0.834997067,11.52985331,0.078514592,10.03108351,10.19904933,10.46800322,10.94759478,11.52985331,12.17157684,12.54361009,12.80761383,13.21817476,13.49796154
84.5,-0.861125495,11.75097872,0.078277372,10.23000087,10.40027462,10.67301464,11.15964652,11.75097872,12.40341329,12.78201467,13.05084457,13.46919053,13.75448195
85.5,-0.90275588,11.97253416,0.078125431,10.42950375,10.60190372,10.87822198,11.37178607,11.97253416,12.63669132,13.02276601,13.29721122,13.72481792,14.01679695
86.5,-0.960308955,12.19478883,0.078061602,10.62979128,10.80413535,11.08382637,11.5842315,12.19478883,12.87179128,13.26634311,13.54728098,13.98579574,14.28578915
87.5,-1.033704489,12.41802682,0.078087089,10.83106129,11.00717426,11.29004337,11.79722112,12.41802682,13.10909353,13.51321579,13.80160677,14.25284528,14.56232653
88.5,-1.122303405,12.64254963,0.078201515,11.03350713,11.21122918,11.49710258,12.01101528,12.64254963,13.34897889,13.76384274,14.06072319,14.52666298,14.84725316
89.5,-1.224887418,12.86867851,0.07840306,11.23731521,11.41651085,11.70524667,12.22589739,12.86867851,13.59182967,14.01867037,14.32514317,14.80791321,15.14137958
90.5,-1.339655646,13.09675786,0.078688751,11.44266196,11.62322932,11.91472966,12.44217465,13.09675786,13.83803305,14.27813372,14.59535621,15.0972208,15.44547079
91.5,-1.464342037,13.32715202,0.079054697,11.64971679,11.83159463,12.12581512,12.66017439,13.32715202,14.08797892,14.54265433,14.87182549,15.39516617,15.76023982
92.5,-1.596224732,13.56025156,0.079496621,11.85863674,12.04181213,12.33877299,12.88024501,13.56025156,14.34206849,14.81264629,15.15499004,15.70227723,16.0863298
93.5,-1.732305592,13.79646793,0.080010179,12.06957102,12.25408376,12.55387711,13.10275007,13.79646793,14.6007123,15.08851573,15.44526407,16.01902591,16.42430655
94.5,-1.869440665,14.03623165,0.080591346,12.28266198,12.46860734,12.77140239,13.32806438,14.03623165,14.86433237,15.37066369,15.74303877,16.34582383,16.77464616
95.5,-2.004558693,14.27998232,0.081236502,12.49805271,12.68558031,12.99162337,13.55656614,14.27998232,15.13335566,15.65948286,16.04868075,16.68302101,17.13773099
96.5,-2.134764169,14.5281658,0.08194262,12.71588767,12.9051993,13.21481233,13.78863356,14.5281658,15.40821452,15.95535951,16.36253385,17.0309025,17.51383737
97.5,-2.257524917,14.78122196,0.082707038,12.93632124,13.12766544,13.44123956,14.02463766,14.78122196,15.68933564,16.25866615,16.68491497,17.38968816,17.90313512
98.5,-2.370762249,15.03957746,0.083527227,13.15952176,13.35318702,13.67117381,14.2649386,15.03957746,15.97713269,16.56975626,17.01611063,17.75953058,18.30568297
99.5,-2.472965302,15.30363303,0.084400264,13.38568043,13.58198599,13.9048846,14.50988056,15.30363303,16.2719909,16.88895128,17.35636782,18.14051413,18.72143304
100.5,-2.563140425,15.5737634,0.085322654,13.61500935,13.81429721,14.14264285,14.759793,15.5737634,16.57426445,17.21653714,17.70589007,18.5326498,19.15022213
101.5,-2.640873937,15.8503043,0.086289668,13.84775164,14.05037619,14.38472456,15.01498669,15.8503043,16.88425753,17.55274622,18.06482316,18.93587281,19.59178174
102.5,-2.706178899,16.1335593,0.087295416,14.08417388,14.29049454,14.63141037,15.27575841,16.1335593,17.20222861,17.89775821,18.4332529,19.35003441,20.04572382
103.5,-2.759500412,16.42379037,0.088332358,14.32457385,14.53494603,14.88298893,15.54238872,16.42379037,17.52837462,18.2516835,18.8111906,19.77489735,20.51154925
104.5,-2.801578893,16.72122308,0.089391426,14.56927503,14.78404331,15.13975644,15.8151455,16.72122308,17.86283343,18.61456222,19.1985691,20.21012731,20.98863696
105.5,-2.833376069,17.02604617,0.090461996,14.81862634,15.03811803,15.40201748,16.09428485,17.02604617,18.20567994,18.98635782,19.5952351,20.65528582,21.47624048
106.5,-2.855987198,17.33841369,0.09153201,15.07299942,15.29751915,15.67008464,16.38005272,17.33841369,18.55692603,19.3669544,20.00094429,21.10982248,21.97348019
107.5,-2.870584724,17.65844486,0.092588053,15.33278813,15.56261274,15.94427872,16.67268526,17.65844486,18.91651802,19.75615211,20.41535516,21.57306793,22.47933846
108.5,-2.878341197,17.98622785,0.093615622,15.59840399,15.83377861,16.2249273,16.97241047,17.98622785,19.28434006,20.15366815,20.83802746,22.04422649,22.99264818
109.5,-2.880404823,18.32181829,0.094599184,15.87027673,16.11141079,16.5123649,17.27944769,18.32181829,19.66021061,20.55913174,21.2684158,22.5223689,23.51208703
110.5,-2.877853767,18.66524194,0.095522442,16.14885045,16.39591448,16.80693136,17.5940083,18.66524194,20.04388538,20.97208562,21.7058694,23.00642737,24.03616881
111.5,-2.871676584,19.01649457,0.096368448,16.43458256,16.6877053,17.10897135,17.91629559,19.01649457,20.43505617,21.39198329,22.14962753,23.49518765,24.56323314
112.5,-2.86277466,19.37553957,0.097119646,16.72794483,16.98720984,17.41883434,18.24650364,19.37553957,20.8333469,21.81818429,22.59881442,23.98728419,25.09144275
113.5,-2.851915004,19.74231348,0.097758211,17.02941648,17.29486046,17.73687191,18.58481884,19.74231348,21.23832075,22.24995962,23.05244169,24.48119347,25.61876629
114.5,-2.839760032,20.11672014,0.098265916,17.33948852,17.61109835,18.06343891,18.93141779,20.11672014,21.64947133,22.6864823,23.50939939,24.97522873,26.14297963
115.5,-2.826824189,20.4986363,0.098624434,17.65865664,17.93636825,18.39889081,19.28646882,20.4986363,22.06622967,23.12683271,23.96845835,25.46753358,26.66164921
116.5,-2.813480089,20.88790914,0.09881529,17.98742223,18.27111906,18.74358385,19.65013122,20.88790914,22.48795967,23.56999284,24.42826397,25.95607618,27.17212889
117.5,-2.799924586,21.28435965,0.09882,18.32628747,18.61580027,19.09787338,20.02255635,21.28435965,22.91396132,24.01484769,24.8873352,26.43864271,27.67154822
118.5,-2.786142221,21.6877854,0.098620143,18.67575115,18.97085907,19.46211272,20.40388907,21.6877854,23.34347238,24.46018471,25.34406179,26.91283039,28.15680318
119.5,-2.771843402,22.09796571,0.098197431,19.03630228,19.33673586,19.83665164,20.79427025,22.09796571,23.77567219,24.90469458,25.79670194,27.37603973,28.62454542
120.5,-2.756365595,22.51466977,0.097533789,19.4084109,19.71385824,20.22183471,21.19384134,22.51466977,24.20968794,25.34697329,26.24338024,27.82546527,29.07117005
121.5,-2.738514883,22.93766971,0.09661143,19.79251446,20.10263208,20.61799935,21.6027518,22.93766971,24.64460473,25.78552592,26.68208549,28.25808429,29.49280125
